construct,term,estimate,standard_error,statistic,p_value,ci95_low,ci95_high,data_status
IN,Intercept,3.788411,0.186655,20.29628,0.0,3.422573,4.154249,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C1]",0.171875,0.23462,0.732566,0.463823,-0.287973,0.631723,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C2]",0.34375,0.23462,1.465132,0.142885,-0.116098,0.803598,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C3]",0.703125,0.23462,2.996861,0.002728,0.243277,1.162973,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C4]",0.8125,0.23462,3.463039,0.000534,0.352652,1.272348,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C5]",0.890625,0.23462,3.796024,0.000147,0.430777,1.350473,synthetic_demo
IN,"C(target_identity, Treatment(reference=""ai""))[T.human]",-0.1875,0.23462,-0.799163,0.424196,-0.647348,0.272348,synthetic_demo
IN,"C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",0.203125,0.23462,0.86576,0.386622,-0.256723,0.662973,synthetic_demo
IN,"C(direction_version, Treatment(reference=""A""))[T.B]",-0.014323,0.067729,-0.211474,0.832518,-0.14707,0.118424,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C1]:C(target_identity, Treatment(reference=""ai""))[T.human]",0.171875,0.331803,0.518002,0.604457,-0.478448,0.822198,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C2]:C(target_identity, Treatment(reference=""ai""))[T.human]",0.453125,0.331803,1.365643,0.172051,-0.197198,1.103448,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C3]:C(target_identity, Treatment(reference=""ai""))[T.human]",0.1875,0.331803,0.565094,0.57201,-0.462823,0.837823,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C4]:C(target_identity, Treatment(reference=""ai""))[T.human]",-0.0,0.331803,-0.0,1.0,-0.650323,0.650323,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C5]:C(target_identity, Treatment(reference=""ai""))[T.human]",0.375,0.331803,1.130187,0.258397,-0.275323,1.025323,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C1]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",0.234375,0.331803,0.706367,0.47996,-0.415948,0.884698,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C2]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",0.1875,0.331803,0.565094,0.57201,-0.462823,0.837823,synthetic_demo
IN,"C(condition_id, Treatment(reference=""C0""))[T.C3]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",-0.15625,0.331803,-0.470911,0.637704,-0.806573,0.494073,synthetic_demo
