group_type,group,dv,structure_coef,p,n,note
scenario_id,moral_friend_report,agency,0.14003361288513755,0.011605612037557087,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,moral_friend_report,free_will_attribution,-0.07375722672751098,0.31889357591034323,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,moral_friend_report,responsibility_total,-0.13998648053139853,0.0314651771306065,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,moral_friend_report,process_accountability,-0.06989302134405942,0.23849466596658675,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,obedience_unfair_order,agency,0.28912695923731174,0.00039189453767580665,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,obedience_unfair_order,free_will_attribution,0.20942211611135064,0.012170671642065587,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,obedience_unfair_order,responsibility_total,-0.11830687586174723,0.23280907017132044,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,obedience_unfair_order,process_accountability,0.04475515851025813,0.6679154516028107,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,privacy_shortcut,agency,0.16822496522037536,0.026279554619361493,36,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,privacy_shortcut,free_will_attribution,0.0761672949357915,0.3410761664493373,36,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,privacy_shortcut,responsibility_total,-0.08443341886989714,0.43714818743320044,36,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,privacy_shortcut,process_accountability,0.010595649069178315,0.9037629320079874,36,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,relationship_honesty,agency,0.13797743543185476,0.017728066639869137,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,relationship_honesty,free_will_attribution,-0.13985377414235167,0.06408646882240943,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,relationship_honesty,responsibility_total,-0.23997334868505202,0.010782324834403898,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,relationship_honesty,process_accountability,-0.06711461349288025,0.5211927401167519,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,responsibility_mistake,agency,-0.05422156122639887,0.33181484043623044,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,responsibility_mistake,free_will_attribution,-0.1649116464576979,0.035818598518994806,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,responsibility_mistake,responsibility_total,-0.2364764946682849,0.020278431659520427,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,responsibility_mistake,process_accountability,-0.11446953968520698,0.24495796611217102,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,risk_project_choice,agency,0.18252036579168018,0.004225363497038737,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,risk_project_choice,free_will_attribution,-0.004998403135520829,0.9392046296478465,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,risk_project_choice,responsibility_total,-0.22538561346266417,0.020670290596179152,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,risk_project_choice,process_accountability,-0.10372139576325567,0.26546381382266016,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,self_control_deadline,agency,0.17539138951836042,0.0001270315504118658,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,self_control_deadline,free_will_attribution,0.20208400808815158,0.005024342077928992,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,self_control_deadline,responsibility_total,0.0767914279332641,0.1927830930946666,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,self_control_deadline,process_accountability,0.2675250473065548,0.0001508308852277083,48,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,team_credit,agency,0.16699981583952736,0.023915686406309346,36,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,team_credit,free_will_attribution,0.09400160073692773,0.3101422222001768,36,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,team_credit,responsibility_total,-0.2533080687382787,0.028803697742398774,36,"Controls perceived_intelligence, char_len, identity_label."
scenario_id,team_credit,process_accountability,-0.0892296993787893,0.3965354064391274,36,"Controls perceived_intelligence, char_len, identity_label."
