construct,contrast_id,contrast,interpretation,split,left_mean,right_mean,difference,effect_size_d,ci95_low,ci95_high,n_left,n_right,data_status
GO,P1,C1 - C0,effect of showing alternatives,overall,4.0742,3.8594,0.2148,0.3371,-0.006,0.4357,64,64,synthetic_demo
GO,P1,C1 - C0,effect of showing alternatives,model=deepseek-v4-pro,3.9141,3.5859,0.3281,0.5428,0.0319,0.6243,32,32,synthetic_demo
GO,P1,C1 - C0,effect of showing alternatives,model=gpt-5.6-terra,4.2344,4.1328,0.1016,0.1701,-0.1911,0.3942,32,32,synthetic_demo
GO,P1,C1 - C0,effect of showing alternatives,identity=ai,4.1406,3.8984,0.2422,0.3835,-0.0672,0.5516,32,32,synthetic_demo
GO,P1,C1 - C0,effect of showing alternatives,identity=human,4.0078,3.8203,0.1875,0.289,-0.1304,0.5054,32,32,synthetic_demo
GO,P2,C2 - C0,effect of showing reasons,overall,4.543,3.8594,0.6836,1.0819,0.4647,0.9025,64,64,synthetic_demo
GO,P2,C2 - C0,effect of showing reasons,model=deepseek-v4-pro,4.5078,3.5859,0.9219,1.4587,0.6122,1.2315,32,32,synthetic_demo
GO,P2,C2 - C0,effect of showing reasons,model=gpt-5.6-terra,4.5781,4.1328,0.4453,0.7711,0.1623,0.7283,32,32,synthetic_demo
GO,P2,C2 - C0,effect of showing reasons,identity=ai,4.5938,3.8984,0.6953,1.0826,0.3806,1.01,32,32,synthetic_demo
GO,P2,C2 - C0,effect of showing reasons,identity=human,4.4922,3.8203,0.6719,1.0696,0.3641,0.9797,32,32,synthetic_demo
GO,P3,C3 - C2,effect of feedback only,overall,4.6875,4.543,0.1445,0.2262,-0.0769,0.3659,64,64,synthetic_demo
GO,P3,C3 - C2,effect of feedback only,model=deepseek-v4-pro,4.3906,4.5078,-0.1172,-0.1927,-0.4152,0.1808,32,32,synthetic_demo
GO,P3,C3 - C2,effect of feedback only,model=gpt-5.6-terra,4.9844,4.5781,0.4062,0.67,0.1091,0.7034,32,32,synthetic_demo
GO,P3,C3 - C2,effect of feedback only,identity=ai,4.625,4.5938,0.0312,0.0459,-0.3022,0.3647,32,32,synthetic_demo
GO,P3,C3 - C2,effect of feedback only,identity=human,4.75,4.4922,0.2578,0.4298,-0.0361,0.5518,32,32,synthetic_demo
GO,P4,C4 - C2,effect of feedback + keeping decision,overall,4.5938,4.543,0.0508,0.0789,-0.1724,0.2739,64,64,synthetic_demo
GO,P4,C4 - C2,effect of feedback + keeping decision,model=deepseek-v4-pro,4.4922,4.5078,-0.0156,-0.0247,-0.3252,0.2939,32,32,synthetic_demo
GO,P4,C4 - C2,effect of feedback + keeping decision,model=gpt-5.6-terra,4.6953,4.5781,0.1172,0.1783,-0.2048,0.4392,32,32,synthetic_demo
GO,P4,C4 - C2,effect of feedback + keeping decision,identity=ai,4.6719,4.5938,0.0781,0.1104,-0.2685,0.4247,32,32,synthetic_demo
GO,P4,C4 - C2,effect of feedback + keeping decision,identity=human,4.5156,4.4922,0.0234,0.0406,-0.2595,0.3064,32,32,synthetic_demo
GO,P5,C5 - C2,effect of feedback + changing decision,overall,4.8984,4.543,0.3555,0.575,0.1413,0.5697,64,64,synthetic_demo
GO,P5,C5 - C2,effect of feedback + changing decision,model=deepseek-v4-pro,4.7656,4.5078,0.2578,0.4217,-0.0418,0.5574,32,32,synthetic_demo
GO,P5,C5 - C2,effect of feedback + changing decision,model=gpt-5.6-terra,5.0312,4.5781,0.4531,0.7318,0.1497,0.7565,32,32,synthetic_demo
GO,P5,C5 - C2,effect of feedback + changing decision,identity=ai,4.9453,4.5938,0.3516,0.5226,0.0219,0.6812,32,32,synthetic_demo
