group_type,group,dv,structure_coef,p,n,note
domain,人际关系,agency,0.15579298928645574,0.0003319073294172901,84,"Controls perceived_intelligence, char_len, identity_label."
domain,人际关系,free_will_attribution,0.0016163910182950825,0.9774214511514288,84,"Controls perceived_intelligence, char_len, identity_label."
domain,人际关系,responsibility_total,-0.23826086109877415,0.0005983457698555329,84,"Controls perceived_intelligence, char_len, identity_label."
domain,人际关系,process_accountability,-0.07919320519433348,0.26764748555398127,84,"Controls perceived_intelligence, char_len, identity_label."
domain,服从与自主,agency,0.28912695923731174,0.00039189453767580665,48,"Controls perceived_intelligence, char_len, identity_label."
domain,服从与自主,free_will_attribution,0.20942211611135064,0.012170671642065587,48,"Controls perceived_intelligence, char_len, identity_label."
domain,服从与自主,responsibility_total,-0.11830687586174723,0.23280907017132044,48,"Controls perceived_intelligence, char_len, identity_label."
domain,服从与自主,process_accountability,0.04475515851025813,0.6679154516028107,48,"Controls perceived_intelligence, char_len, identity_label."
domain,自我控制,agency,0.17539138951836042,0.0001270315504118658,48,"Controls perceived_intelligence, char_len, identity_label."
domain,自我控制,free_will_attribution,0.20208400808815158,0.005024342077928992,48,"Controls perceived_intelligence, char_len, identity_label."
domain,自我控制,responsibility_total,0.0767914279332641,0.1927830930946666,48,"Controls perceived_intelligence, char_len, identity_label."
domain,自我控制,process_accountability,0.2675250473065548,0.0001508308852277083,48,"Controls perceived_intelligence, char_len, identity_label."
domain,责任困境,agency,0.09105802576563585,0.08445774829233167,84,"Controls perceived_intelligence, char_len, identity_label."
domain,责任困境,free_will_attribution,-0.012092723314261089,0.8396968800910097,84,"Controls perceived_intelligence, char_len, identity_label."
domain,责任困境,responsibility_total,-0.1586341216778771,0.027125886406654174,84,"Controls perceived_intelligence, char_len, identity_label."
domain,责任困境,process_accountability,-0.04336858665344677,0.5040371368829739,84,"Controls perceived_intelligence, char_len, identity_label."
domain,道德冲突,agency,0.14003361288513755,0.011605612037557087,48,"Controls perceived_intelligence, char_len, identity_label."
domain,道德冲突,free_will_attribution,-0.07375722672751098,0.31889357591034323,48,"Controls perceived_intelligence, char_len, identity_label."
domain,道德冲突,responsibility_total,-0.13998648053139853,0.0314651771306065,48,"Controls perceived_intelligence, char_len, identity_label."
domain,道德冲突,process_accountability,-0.06989302134405942,0.23849466596658675,48,"Controls perceived_intelligence, char_len, identity_label."
domain,风险决策,agency,0.18252036579168018,0.004225363497038737,48,"Controls perceived_intelligence, char_len, identity_label."
domain,风险决策,free_will_attribution,-0.004998403135520829,0.9392046296478465,48,"Controls perceived_intelligence, char_len, identity_label."
domain,风险决策,responsibility_total,-0.22538561346266417,0.020670290596179152,48,"Controls perceived_intelligence, char_len, identity_label."
domain,风险决策,process_accountability,-0.10372139576325567,0.26546381382266016,48,"Controls perceived_intelligence, char_len, identity_label."
