scenario_id,direction_version,condition_id,target_identity,phase_1_word_count,feedback_word_count,phase_2_word_count,total_word_count,alternatives_present,reasons_present,feedback_present,second_decision_present,second_decision_outcome,review_status,review_note
s1_scheduling,A,C0,ai,16,0,0,16,no,no,no,no,none,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,A,C0,human,15,0,0,15,no,no,no,no,none,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,A,C1,ai,35,0,0,35,yes,no,no,no,none,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,A,C1,human,33,0,0,33,yes,no,no,no,none,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,A,C2,ai,28,0,0,28,no,yes,no,no,none,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,A,C2,human,27,0,0,27,no,yes,no,no,none,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,A,C3,ai,28,19,0,47,no,yes,yes,no,none,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,A,C3,human,27,18,0,45,no,yes,yes,no,none,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,A,C4,ai,28,19,24,71,no,yes,yes,yes,keep,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,A,C4,human,27,18,23,68,no,yes,yes,yes,keep,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,A,C5,ai,28,19,26,73,no,yes,yes,yes,change,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,A,C5,human,27,18,25,70,no,yes,yes,yes,change,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,B,C0,ai,16,0,0,16,no,no,no,no,none,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,B,C0,human,15,0,0,15,no,no,no,no,none,pass,structural manipulation invariants hold; identity differs by subject label only
s1_scheduling,B,C1,ai,35,0,0,35,yes,no,no,no,none,pass,structural manipulation invariants hold; identity differs by subject label only
