dv,spec,term,coef,t,p
agency,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.05833333333333307,-0.5672123422687444,0.5709324953786739
agency,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.36666666666666803,-3.5653347228321373,0.0004137345060672742
agency,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.2749999999999992,2.6740010421240847,0.007845673600770342
agency,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",0.1250000000000011,1.2154550191473257,0.22500948634914536
agency,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",0.8916666666666673,8.670245803250847,1.6188653268476977e-16
agency,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.09658792143614181,-1.218218058952022,0.22396167042411994
agency,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.11036092637784051,-1.3633443376746894,0.1736503341134038
agency,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.09137797710651491,1.1404375427347928,0.2548838383141545
agency,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",0.02553807093269489,0.3212077783995889,0.7482446588658751
agency,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",0.524422620879694,6.34112808163866,7.041051742655964e-10
agency,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.7918366468499201,-2.835124553729556,0.004846888619953688
agency,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-5.63752162897848,-3.0121755437449766,0.002782558543051687
agency,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-2.515000823402188,-2.5290735837495393,0.011875009296423353
agency,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-1.132708561134494,-2.4763688208041863,0.013744772244500757
agency,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-3.735932772011391,-2.272612227398023,0.023655431944957356
agency,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.34877432018641935,-1.5915902384364178,0.11238213290668025
agency,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-1.9291555070684794,-1.307245452788542,0.19198995337866825
agency,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-0.8673797679724168,-1.1107909076506954,0.2674230487400134
agency,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.4064538624823507,-1.1325353610219695,0.2581869086896105
agency,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-1.0650278756220513,-0.8253694757680835,0.40972567102673746
free_will_attribution,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.026666666666667116,-0.202746016553032,0.8394510260124953
free_will_attribution,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.35333333333333417,-2.686384719327635,0.007566430630408233
free_will_attribution,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.24999999999999944,1.9007439051846389,0.05815453540023083
free_will_attribution,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",0.06333333333333424,0.4815217893134498,0.6304457615577941
free_will_attribution,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",0.43,3.269279516917584,0.0011849037701648025
