construct,contrast_id,contrast,interpretation,estimate,standard_error,statistic,p_value,p_value_holm,ci95_low,ci95_high,raw_descriptive_contrast,judge_model_interaction_estimate,data_status
IN,P1,C1 - C0,explicit alternatives information,0.179688,0.155313,1.15694,0.247297,0.741891,-0.12472,0.484095,0.179688,-0.046875,synthetic_demo
IN,P2,C2 - C0,explicit stated-reason information,0.507813,0.155313,3.269613,0.001077,0.006462,0.203405,0.81222,0.507812,0.109375,synthetic_demo
IN,P3,C3 - C2,effect of feedback only,0.15625,0.155313,1.006035,0.314399,0.741891,-0.148157,0.460657,0.15625,-0.15625,synthetic_demo
IN,P4,C4 - C2,effect of feedback + keeping decision,0.03125,0.155313,0.201207,0.840537,0.840537,-0.273157,0.335657,0.03125,0.03125,synthetic_demo
IN,P5,C5 - C2,effect of feedback + changing decision,0.242188,0.155313,1.559354,0.118913,0.594563,-0.06222,0.546595,0.242188,-0.140625,synthetic_demo
IN,P6,C5 - C4,effect of changing vs keeping decision,0.210938,0.155313,1.358147,0.174417,0.697668,-0.09347,0.515345,0.210938,-0.171875,synthetic_demo
GO,P1,C1 - C0,explicit alternatives information,-0.148437,0.170828,-0.86893,0.384885,0.94306,-0.483254,0.186379,-0.148438,-0.546875,synthetic_demo
GO,P2,C2 - C0,explicit stated-reason information,0.351563,0.170828,2.057992,0.039591,0.197954,0.016746,0.686379,0.351562,-0.328125,synthetic_demo
GO,P3,C3 - C2,effect of feedback only,-0.171875,0.170828,-1.00613,0.314353,0.94306,-0.506692,0.162942,-0.171875,-0.1875,synthetic_demo
GO,P4,C4 - C2,effect of feedback + keeping decision,0.171875,0.170828,1.00613,0.314353,0.94306,-0.162942,0.506692,0.171875,0.21875,synthetic_demo
GO,P5,C5 - C2,effect of feedback + changing decision,0.398437,0.170828,2.332391,0.01968,0.118081,0.063621,0.733254,0.398438,0.453125,synthetic_demo
GO,P6,C5 - C4,effect of changing vs keeping decision,0.226562,0.170828,1.326262,0.184753,0.739012,-0.108254,0.561379,0.226562,0.234375,synthetic_demo
