scale,n_items,n_cases_complete,cronbach_alpha,note
agency,6,360,0.8797272390835175,Synthetic AI-simulated data; not formal human psychometric evidence.
experience,5,360,0.9621710931817902,Synthetic AI-simulated data; not formal human psychometric evidence.
free_will_attribution,5,360,0.9488888718040085,Synthetic AI-simulated data; not formal human psychometric evidence.
autonomy,3,360,0.904901761158429,Synthetic AI-simulated data; not formal human psychometric evidence.
outcome_accountability,2,360,0.9845785297200178,Synthetic AI-simulated data; not formal human psychometric evidence.
moral_praise_blame,2,360,0.96055200449306,Synthetic AI-simulated data; not formal human psychometric evidence.
process_accountability,2,360,0.9344181006776737,Synthetic AI-simulated data; not formal human psychometric evidence.
perceived_intelligence,3,360,0.8589052879032932,Synthetic AI-simulated data; not formal human psychometric evidence.
factual_manipulation_check,3,360,0.8957247336921283,Synthetic AI-simulated data; not formal human psychometric evidence.
subjective_process_completeness,3,360,0.9195977394053212,Synthetic AI-simulated data; not formal human psychometric evidence.
